"ID"	"X"	"Y"	"L"
1001	3.48	3.37	90.5
1002	1.31	9.14	60.04
1003	6.09	0.18	9
1004	0.35	2.53	90.52
1005	19.5	12.82	90.73
1006	8.94	3.8	44.42
1007	0.41	7.11	84.55
1008	2.17	9.49	83.27
1009	19.92	1.64	10.34
1010	13.17	9.94	89.16
1011	3.23	2	90.28
1012	18.37	5	10.98
1013	14.89	7.76	83.46
1014	17.66	1.61	90.79
1015	15.04	7.6	57.75
1016	12.06	10.5	49.78
1017	8.86	3.46	92.74
1018	8.11	10.59	80.75
1019	12.23	3.24	17.72
1020	3.09	1.04	90.01
1021	4.25	2.2	90.67
1022	0.9	6.37	22.15
1023	18.03	14.79	90.78
1024	18.89	12.97	90.85
1025	8.97	10.32	57.06
1026	18.2	14.94	90.16
1027	15.99	5.66	47.88
1028	6.04	12.66	96
1029	5.28	6.86	41.28
1030	2.76	8.9	47.79
1031	11.54	12.94	24.88
1032	2.62	7	29.28
1033	16.45	13.05	90.39
1034	0.57	10.97	10.55
1035	15.53	8.14	84.59
1036	19.94	4.08	10.16
1037	8.75	7.92	70.24
1038	13.68	6.57	82.3
1039	0.74	13.24	10.69
1040	13.71	8.59	64.05
1041	16.73	6.08	85.76
1042	6.51	0.12	55.79
1043	4.21	1.79	90.64
1044	14.43	3.14	58.04
1045	7.21	14.34	63.05
1046	5.19	9.2	45.99
1047	7.51	11.72	88.64
1048	19.13	7.08	34.55
1049	6.73	12.63	25.28
1050	15.69	11.95	90.31
1051	6.69	4.01	6.88
1052	7.69	14.74	48.26
1053	3.93	10.97	10.36
1054	17.79	11.06	90.59
1055	11.19	13.52	51.6
1056	6.19	8.55	33.28
1057	2.32	1.24	90.45
1058	12.02	12.08	29.78
1059	4.05	2.4	90.05
1060	18.61	13.95	90.1
1061	4.38	10.11	10.84
1062	8.14	2.74	77.31
1063	8.92	10.75	78.51
1064	4.61	0.8	90.67
1065	19.92	3.66	10.28
1066	16.38	11.41	90.72
1067	1.13	11.8	10.52
1068	9.1	5.26	75.75
1069	16.24	1.27	10.39
1070	16.87	7.63	43.74
1071	15.2	0.09	90.36
1072	13.48	9.62	33.95
1073	16.56	13.78	90.37
1074	17.54	12.69	90.3
1075	13.05	11.77	35.46
1076	11.97	5.58	13.53
1077	11.23	5.01	19.61
1078	8.3	6.06	57.65
1079	16.48	12.29	90.99
1080	4.72	10.57	10.3
1081	3.85	4.67	90.97
1082	14.78	3.06	74
1083	6.24	3.83	0.76
1084	8.58	8.84	3.03
1085	6.8	1.43	9.07
1086	18.59	6.51	18.91
1087	0.21	1.5	90.48
1088	19.32	8.71	48.12
1089	12.41	1.91	28.01
1090	10.07	9.77	61.43
1091	6.21	10.37	56.09
1092	14.04	7	0.47
1093	13.78	9.68	72.53
1094	15.36	6.58	80.14
1095	17.2	8.67	21
1096	11.39	5.17	69.67
1097	16.31	4.04	10.95
1098	1.5	5.8	64.43
1099	16.66	7.19	2.32
1100	19.56	10.92	90.03
1101	12.18	9.01	8.42
1102	11.32	14.14	38.61
1103	13.18	4.95	74.33
1104	14.76	1.37	52.18
1105	2.53	1.94	90.15
1106	4.93	4.9	90.23
1107	10.34	5.06	85.51
1108	7.76	0.75	52.96
1109	16.59	4.79	90.55
1110	11.48	1.37	63.66
1111	1.85	10.57	10
1112	9.25	9.02	53.5
1113	1.01	2.82	90.92
1114	14.29	7.91	1.74
1115	19.49	11.94	90.13
1116	4.18	12.46	10.63
1117	5.04	12.63	38.57
1118	12.97	4.8	32.23
1119	1.72	10.49	10.55
1120	17.16	3.83	10.87
1121	9.73	0.34	42.88
1122	0.27	3.39	90.57
1123	7.09	5.01	38.68
1124	15.02	6.75	39.67
1125	16.29	9.27	5.31
1126	7.38	5.28	63.52
1127	4.66	10.24	10.22
1128	8.78	5.09	35.1
1129	9.51	13.07	86.73
1130	2.46	9.01	58.05
1131	5.04	13.76	62.54
1132	17.4	4.4	90.97
1133	2.4	11.43	10.09
1134	5.96	9.17	51.31
1135	1.01	5.37	99.81
1136	13.56	1.46	48.89
1137	2.01	9.79	22.18
1138	8.62	6.07	64.92
1139	16.57	10.46	90.25
1140	6.87	0.55	54.63
1141	7.27	9	52.93
1142	4.69	6.2	67.25
1143	3.28	7.62	35.41
1144	9.8	13.4	15.35
1145	9.52	4.46	70.22
1146	9.36	1.91	39.06
1147	2.24	11.77	10.67
1148	6.54	0.81	7.73
1149	1.65	8.9	95.01
1150	15	10.27	75.46
1151	1.09	14.67	10.93
1152	16.1	2.67	90.81
1153	16.58	14.67	90.63
1154	11.41	9.43	74.57
1155	13.2	4.62	73.94
1156	12.7	13.81	13.95
1157	7.92	5.96	58
1158	16.33	4.66	90.72
1159	7.03	11.55	36.59
1160	8.06	6.06	0.93
1161	17.98	13.94	90.76
1162	16.53	10.21	90.84
1163	6.2	11.88	40.46
1164	5.29	11.6	46.49
1165	12.13	2.87	70.45
1166	4.49	13.37	10.35
1167	2.92	4.75	90.13
1168	15.71	1.03	90.21
1169	3.01	2.55	90.23
1170	16.74	10.47	90.32
1171	15.31	10.24	90.21
1172	14.26	12.26	45.91
1173	7.93	4.26	44.19
1174	14.39	7.96	6.51
1175	18.51	5.38	29.65
1176	5.26	10.7	81.76
1177	15.65	3.26	10.42
1178	2	11.23	10.84
1179	16.26	1.99	10.88
1180	10.06	4.39	13.82
1181	4.88	11.85	10.89
1182	3.96	2.14	90.48
1183	0.85	0.06	90.64
1184	12.36	9.11	48.45
1185	7.01	0.15	51.13
1186	5.33	13.65	86.36
1187	5.98	2.95	37.32
1188	14	3.78	8.05
1189	11.84	13.67	27.99
1190	19.45	5.82	2.97
1191	8.32	12.48	32.08
1192	0.3	4.41	90.2
1193	0.49	2.3	90.27
1194	19.17	11.5	90.49
1195	6.11	10.1	59.83
1196	6.06	4.52	17.01
1197	18.61	5.92	82.17
1198	7.06	14.34	74.54
1199	12.4	3.35	12.01
1200	5.95	8.21	62.37
1201	1.86	1.02	90.33
1202	12.08	7.59	50.94
1203	12.99	10.61	51.09
1204	8.26	3.31	98.83
1205	12.76	3.72	72.26
1206	4.62	9.69	54.03
1207	11.91	6.53	72.23
1208	5.88	9.56	54.82
1209	5.99	1.19	10.63
1210	5.32	10.19	90.37
1211	14.12	10.52	83.26
1212	16.49	8.18	56.49
1213	10.73	5.99	26.41
1214	18.27	9.45	29.03
1215	3.07	3.95	90.72
1216	8.87	9.53	33.55
1217	2.41	11.82	10.54
1218	11.23	14.58	46.59
1219	14.01	1.01	43.99
1220	5.14	7.43	16.1
1221	10.56	4.13	75.2
1222	10.48	8.45	96.42
1223	8.31	6.88	29.48
1224	8.34	9.83	32.5
1225	9.53	5.71	65.7
1226	1.09	7.8	21.91
1227	14.15	4.03	56.76
1228	9.1	6.83	1.51
1229	3.36	9.56	22.98
1230	1.05	6.72	68.53
1231	13.92	9.91	80.53
1232	8.86	3.52	28.86
1233	8.19	12.72	16.17
1234	17.65	5.28	32.81
1235	2.06	8.23	94.73
1236	18.56	5.4	25.65
1237	12.3	13.52	3.67
1238	2.71	0.08	90.79
1239	17.32	14.57	90.93
1240	10.97	3.62	87.14
1241	12.03	0.35	75.82
1242	12.82	0.22	14
1243	1.82	5.46	16.67
1244	3.6	7.32	79.87
1245	6.14	13.21	92.11
1246	2.04	4.43	90
1247	14.51	5.54	94.63
1248	7.8	2.36	53.11
1249	0.56	11.97	10.09
1250	13.07	12.77	22.96
1251	17.19	1.7	90.28
1252	5.33	10.42	97.1
1253	11.46	3.9	93.38
1254	0.29	9.67	43.72
1255	12.48	10.47	14.22
1256	1.78	14.73	10.33
1257	5.75	6.86	12.37
1258	15.09	4.18	10.49
1259	15.53	1.81	90.47
1260	1.98	12.02	10.39
1261	0.45	1.57	90.63
1262	17.97	9.51	26.58
1263	14.36	14.72	11.1
1264	6.53	3.79	71.37
1265	9.63	4.84	11.72
1266	1.28	9.88	81.46
1267	4.07	11.89	10.78
1268	5.59	14.72	41.71
1269	9.6	5.92	50.03
1270	6.2	1.21	22.98
1271	8.76	14.08	94.08
1272	15.65	10.45	90.94
1273	14.32	13.62	73.65
1274	11.78	11.91	56.44
1275	3.37	6.2	62.01
1276	6.6	14.39	89.77
1277	12.38	7.68	98.93
1278	15.18	9.33	6.88
1279	14.42	0.56	0.15
1280	14.05	3.22	82.07
1281	8.55	8.95	77.84
1282	19.5	1.22	10.86
1283	4.35	1.11	90.47
1284	7.07	7.11	39.07
1285	7.53	2.25	40.23
1286	9.07	4.59	15.45
1287	0.34	7.61	22.36
1288	8.61	13.38	67.17
1289	0.49	10.4	10.7
1290	0.41	4.34	90.01
1291	7.38	14.52	46.51
1292	6.16	12.55	75.85
1293	5.63	9.66	3.56
1294	7.69	5	13.14
1295	16.64	8.41	86
1296	0.29	0.52	90.77
1297	16.44	1.8	10.21
1298	0.52	13.27	10.43
1299	9.93	1.66	64.31
1300	5.37	9.74	16.68
1301	2.88	3.88	90.07
1302	12.33	7.82	48.78
1303	17.26	0.99	10.83
1304	18.18	2.9	10.55
1305	11.74	12.21	56.14
1306	13.58	2.8	22.44
1307	14.68	7.19	20.38
1308	12.59	2.59	66.92
1309	5.01	13.26	20.11
1310	18.25	13.88	90.86
1311	12.48	14.53	13.21
1312	1.61	12.81	10.65
1313	14.54	8.65	51.2
1314	13.71	12.88	46.59
1315	9.81	8.98	72.47
1316	14.34	7.2	17.69
1317	18.87	9.96	59.71
1318	8.09	6.27	54.91
1319	6.01	11.3	26.32
1320	6.3	7.36	61.42
1321	13.21	8.11	65.91
1322	2.75	1.54	90.89
1323	10.22	12.98	57.95
1324	3.17	13.38	10.92
1325	11.2	1.85	75.43
1326	17.7	12.99	90.53
1327	15.37	13.18	90.64
1328	12.79	0.87	3.2
1329	12.99	14.23	34.62
1330	15.39	7.11	6.98
1331	19.76	6.34	71.07
1332	10.54	4.2	92.2
1333	2.16	6.89	50.73
1334	7.22	8.83	61.02
1335	4.01	5.77	53.77
1336	17.41	13.27	90.69
1337	0.65	5.83	91.32
1338	11.84	2.53	81.2
1339	15.35	10.08	90.76
1340	10.41	3.67	11.54
1341	17.88	8.21	14.27
1342	2.24	14.64	10.26
1343	19.86	0.86	10.36
1344	16.66	9.77	2.61
1345	17.34	10.75	90.55
1346	0.09	3.34	90.44
1347	13.79	1.21	88.42
1348	11.82	0.06	89.67
1349	17.31	4.88	90.84
1350	18.6	8.57	87.49
1351	18.35	2.74	90.55
1352	11.42	1.2	44.53
1353	6.92	0.9	46
1354	2.17	3.98	90.87
1355	3.57	0.1	90.27
1356	0.41	12.67	10.87
1357	3.78	13.33	10.92
1358	8.03	9.5	76.32
1359	8.95	13.55	88.54
1360	15.29	8.63	88.26
1361	17.71	8.99	12.01
1362	14.97	1.26	24.33
1363	12.18	10.63	41.91
1364	19.06	10.89	90.77
1365	13.31	12.09	93.1
1366	9.42	5.43	64.03
1367	18.03	11.47	90.43
1368	1.88	13.72	10.43
1369	1.95	11.67	10.8
1370	17.17	9.65	45.91
1371	10.65	1.35	98.48
1372	1.95	9.07	72.26
1373	10.52	4.29	95.66
1374	18.82	8.39	42.45
1375	15.84	8.76	73.05
1376	12.67	3.47	86.29
1377	11.2	6.7	66.41
1378	16.77	3.33	10.89
1379	19.46	13.66	90.97
1380	12.27	7.89	96.11
1381	19.56	11.19	90.61
1382	16.09	14.45	90.76
1383	18.48	6.47	32.93
1384	16.67	10.5	90.06
1385	1.85	8.84	69.11
1386	5.76	2.65	64.06
1387	4.69	14.28	10.08
1388	3.49	6.12	69.75
1389	18.72	6.39	90.4
1390	19.92	11.32	90.42
1391	2.92	2.24	90.12
1392	2.18	10.18	10.74
1393	10.2	1.8	19.42
1394	1.03	11.04	10.8
1395	5.52	5.49	59.77
1396	10.23	3.25	47.15
1397	5.15	14.05	63.5
1398	10.56	1.02	50.09
1399	1.23	7.42	23.15
1400	12.86	7.51	10.42
1401	1.12	5.52	26.8
1402	19.87	1.16	10.87
1403	7.64	0.28	19.8
1404	5.93	14.44	69.04
1405	3.25	14.51	10.26
1406	9.44	2.49	96.24
1407	19.55	11.46	90.05
1408	11.51	13.84	88.1
1409	13.36	12.6	96.59
1410	7.97	11.92	44.24
1411	1.78	7.02	13.73
1412	9.75	5.7	17.9
1413	15.37	0.42	90.6
1414	8.58	2.62	40.71
1415	2.56	9.77	28.67
1416	19.95	5.6	17.32
1417	15.26	4.98	10.93
1418	5	0.71	90.66
1419	11.13	11.04	12.5
1420	4.75	9.89	44.84
1421	11.47	0.15	80.69
1422	19.86	5.78	58.22
1423	2.73	4.52	90.99
1424	4.25	14.7	10.65
1425	12.95	14.7	5.33
1426	7.04	13.17	16.74
1427	14.19	14.04	14.4
1428	17.55	0.78	10.57
1429	13.55	3.35	27.69
1430	16.8	0.58	10.72
1431	3.43	1.31	90.1
1432	12.32	7.74	1.98
1433	6.74	14.38	4.99
1434	2.02	12.73	10.57
1435	9.6	8.8	21.71
1436	7.44	11.99	3.93
1437	5.26	0.96	84.38
1438	7.8	7.11	3.29
1439	4.8	6.11	2.45
1440	12.6	0.25	6.77
1441	9.31	0.88	61.07
1442	14.56	7.22	27.32
1443	17.56	10.28	90.73
1444	6.38	7.29	4.24
1445	5.92	8.09	41.15
1446	7.77	8.6	41.94
1447	4.07	1.44	90.67
1448	14.31	13.31	23.64
1449	17.24	12.66	90.06
1450	3.44	0.62	90.47
1451	2.18	7.79	38.53
1452	4.12	1.16	90.1
1453	10.39	6.18	59.66
1454	17.67	8.41	11.64
1455	1.58	9.49	1.9
1456	13.94	3.09	81.64
1457	17.62	13.12	90.69
1458	3.83	9.11	25.39
1459	2.61	14.57	10.59
1460	6.02	7.65	10.85
1461	8.43	2.47	83.94
1462	11.53	5.84	15.21
1463	11.73	2.7	46.99
1464	10.31	0.05	38.23
1465	10.37	10.18	64.47
1466	14.23	14.59	10.62
1467	4.87	14.15	10.7
1468	3.43	1.79	90.98
1469	0.87	3.29	90.36
1470	11.1	1.16	45.66
1471	17.7	2.01	90.62
1472	16.51	0.6	10.51
1473	0.66	1.91	90.11
1474	14.96	6.44	35.16
1475	14.24	13.36	15.81
1476	2.15	2.59	90.41
1477	7.05	10.14	32.96
1478	10.82	11.41	68.9
1479	1.04	10.87	10.57
1480	4.39	9.28	85.06
1481	3.54	6.11	14.5
1482	10.46	5	28.6
1483	2.74	1.49	90.1
1484	8.42	6.06	15.6
1485	14.36	5.96	91.04
1486	7.48	10.71	68.91
1487	14.09	11.62	12.93
1488	10.57	1.68	83.49
1489	10.58	7.63	23.71
1490	19.88	8.18	29.36
1491	9.65	11.65	37.04
1492	18.26	14.96	90.24
1493	12.24	13.39	10.81
1494	7.78	10.6	28.08
1495	0.13	14.07	10.37
1496	9.99	2.42	97.86
1497	4.31	1.98	90.41
1498	11	12.66	52.57
1499	17.08	9.33	28.62
1500	18.08	10.31	90.77
1501	0.98	3.42	90.97
1502	10.78	0.99	8.17
1503	7.45	4.26	54.5
1504	5.03	8	55.53
1505	18.1	11.31	90.26
1506	5.24	0.83	52.99
1507	19.79	2.76	90.63
1508	4.48	13.14	10.84
1509	17.17	14.66	90.02
1510	5.75	13.51	63.04
1511	8	7.08	9.99
1512	11.62	8.74	70.35
1513	11.53	3.97	12.24
1514	3.15	3.42	90.9
1515	14.41	4.11	96.16
1516	14.69	4.8	95.56
1517	1.9	2.18	90.12
1518	13.4	6.16	45.43
1519	1.12	5.55	28.95
1520	13.01	10.15	69.51
1521	7.43	5.62	50.13
1522	7.34	10.78	33.67
1523	10.51	6.11	13.78
1524	10.11	5.83	97.03
1525	0.3	13.84	10.15
1526	6.84	5.39	77.96
1527	0.31	4.28	90.17
1528	11.92	1.29	68.97
1529	4.87	2.48	90.8
1530	18.62	1	10.49
1531	19.5	11.88	90.85
1532	16.87	0.47	10.13
1533	19.79	3.11	10.52
1534	10.43	4.61	75.17
1535	19.61	4.17	10.4
1536	17.61	5.65	50.61
1537	15.7	6.06	47.36
1538	1.65	14.31	10.8
1539	4.08	14.6	10.15
1540	11.79	11.51	81.13
1541	17.74	8.26	53.79
1542	1.79	8.84	43.81
1543	3.37	3.44	90.5
1544	10.31	12.87	11.87
1545	12.86	11.42	85.25
1546	14.71	11.88	27.03
1547	2.92	13.03	10.79
1548	18.1	2.63	90.85
1549	2	12.79	10.73
1550	2.74	12.96	10.4
1551	19.4	6.96	56.6
1552	11.21	13.98	95.55
1553	11.53	9.85	47.72
1554	1.53	6.83	35.86
1555	17.98	3.37	90.7
1556	8.42	8.1	10.51
1557	8.1	8.13	9.26
1558	10.4	4.06	92.61
1559	10.59	7.33	87.97
1560	18.44	10.73	90.09
1561	9.83	5.56	21.9
1562	8.75	3.71	87.34
1563	17.12	11.69	90.12
1564	7.12	14.54	47.46
1565	7.41	7.8	52.8
1566	14.27	14.19	7.76
1567	10.47	7.07	80.53
1568	5.67	12.35	8.81
1569	3.71	10.41	10.98
1570	11.39	0.76	7.14
1571	12	13.94	50.99
1572	18.44	1.98	90.83
1573	10.96	10.61	88.62
1574	2.28	14.15	10.05
1575	2.93	12.05	10.1
1576	7.03	11.14	47.87
1577	8.1	14.61	40.67
1578	3.76	0.72	90.36
1579	12.23	5.35	20.65
1580	16.67	2.48	10.74
1581	2.44	9.53	38.65
1582	4.52	7.9	16.74
1583	12.71	8.6	71.28
1584	8.81	6.55	27.03
1585	14.59	7.3	85.46
1586	15.51	5.53	47.03
1587	11.4	14.01	1.34
1588	11.63	3.89	18.44
1589	13.08	12.82	36.91
1590	5.7	0.88	39.61
1591	5.28	14.85	64.49
1592	8.66	14.58	11.21
1593	3.39	1.97	90.23
1594	19.12	13.66	90.4
1595	4.84	3.32	90.45
1596	4.75	7.03	95.07
1597	2.82	2.7	90.87
1598	18.32	9.8	68.81
1599	14.11	9.42	26.35
1600	3.59	8.74	29.79
1601	16.13	9.69	27.1
1602	5.05	6.97	33.3
1603	12.28	12.64	25.35
1604	4.07	9.85	53.44
1605	0.24	1.19	90.68
1606	11.76	0.55	24.66
1607	4.62	13.35	10.84
1608	4.26	12.99	10.9
1609	11.24	6.03	63.54
1610	16.69	11.01	90.18
1611	8.2	3.57	61.51
1612	4.22	13.13	10.99
1613	8.03	9.95	98.12
1614	12.27	6.99	13.43
1615	1.58	6.38	9.69
1616	4.35	2.07	90.29
1617	10.81	0.65	25.42
1618	19.02	3.45	90.42
1619	14.46	4.33	83.29
1620	11.14	10.5	33.45
1621	8.82	14.74	24.23
1622	13.42	12.16	68.64
1623	5.01	12.25	10.02
1624	2.24	6.67	76.73
1625	14.44	0.28	48.11
1626	10.17	9.61	93.01
1627	14.43	13.76	61.62
1628	5.81	2.83	19.46
1629	9.9	11.74	8.71
1630	18.45	4.94	90.77
1631	19.86	13.48	90.94
1632	14.65	11.15	88.91
1633	8.6	8.17	7.04
1634	10.78	12.74	23.42
1635	3.24	12.31	10.91
1636	4.81	2.9	90.33
1637	15.95	5.67	20.61
1638	5.22	11.4	80.24
1639	12.76	12.3	1.84
1640	0.11	14.86	10.19
1641	7.92	4.92	80.7
1642	10.39	12.21	64.48
1643	5.11	6.61	17.96
1644	7.17	14.27	41.05
1645	13.88	8.44	62.92
1646	15.92	6.65	97.26
1647	4.56	1.98	90.03
1648	12.98	6.52	5.73
1649	0.14	9.76	43.1
1650	2.4	14.21	10.67
1651	19.5	14.74	90.23
1652	2.92	11.82	10.75
1653	16.01	13.02	90.05
1654	12.99	2.49	17.77
1655	19.69	3.44	90.04
1656	2.47	11.98	10.46
1657	11.93	3.84	52.63
1658	5.31	10.61	65.68
1659	6.97	9.43	31
1660	11.99	14.23	52.93
1661	9.66	3.12	41.24
1662	17.5	12.38	90.21
1663	8.64	4.41	55.93
1664	7.65	3	81.74
1665	3.93	1.28	90.47
1666	19.43	2.63	10.18
1667	13.15	10.75	53.31
1668	12.1	4.73	97.65
1669	3.27	5.79	60.7
1670	2.09	6.29	74.94
1671	17.51	10.02	90.77
1672	0.19	1.25	90.16
1673	5.4	9.88	68.05
1674	12.26	8.71	7.87
1675	11.56	0.62	74.47
1676	7.05	10.76	45.33
1677	0.87	4.06	90.92
1678	8.89	10.66	0.09
1679	19.77	0.65	10.72
1680	1.12	11.16	10.56
1681	8.44	5.9	94.73
1682	1.59	6.4	74.35
1683	15.39	1.92	10.26
1684	2.92	9.17	42.18
1685	1.83	1.06	90.86
1686	9.19	3.3	89.49
1687	0.62	4.29	90.68
1688	11.93	3.81	9.5
1689	1.85	5.43	49.13
1690	17.29	5.51	11.76
1691	5.43	10.97	17.29
1692	11.81	14.79	19.93
1693	8.81	1.28	40.21
1694	3.89	8.01	62.14
1695	2.61	13.47	10.97
1696	1.18	4.2	90.68
1697	0.93	14.62	10.71
1698	9.02	3.5	51.13
1699	0.2	7.32	53.9
1700	8.64	8.24	49.61
1701	8.69	10.52	41.37
1702	5.53	2.11	20.31
1703	13.21	4.58	61.4
1704	19.64	3.8	10.54
1705	2.68	7.4	37.78
1706	5.92	13.94	52.71
1707	3.42	1.53	90.47
1708	11.29	0.7	61.77
1709	15.15	7.35	44.85
1710	14.35	9.51	74.23
1711	19.02	4.58	90.31
1712	8.54	3.75	67.35
1713	19.91	6.7	32.05
1714	6.55	10.94	17.26
1715	12.35	7.89	69.84
1716	17.34	10.44	90.3
1717	8.54	1.51	39.87
1718	1.24	11.4	10.8
1719	5.24	7.2	18.77
1720	2.18	11.45	10.43
1721	18.77	10.5	90.94
1722	5.55	2.06	56.53
1723	11.35	1.63	68.13
1724	6.91	8.32	92.24
1725	9.8	2.46	42.59
1726	3.14	12.21	10.27
1727	5.31	5.03	15.86
1728	6.89	4.61	1.36
1729	17.41	9.08	22.17
1730	2.23	4.75	90.67
1731	7.1	2.73	28.79
1732	19.89	12.09	90.7
1733	7.95	0.56	81.07
1734	4.7	0.74	90.2
1735	3.17	0.83	90.03
1736	8.09	6.95	29.25
1737	16.84	2.9	10.63
1738	9.48	2.05	21.83
1739	1.55	9.3	30.15
1740	11.74	10.8	51.1
1741	14.09	0.07	2.42
1742	1.52	12.75	10.25
1743	14.21	3.93	19.98
1744	18.63	4.21	90.36
1745	5.39	6.75	3.79
1746	19.62	14.35	90.06
1747	2.18	0.87	90.66
1748	19.87	8.77	77.67
1749	8.13	1.76	28.02
1750	11.24	1.05	41.29
1751	12.91	2.98	77.31
1752	3.89	12.94	10.07
1753	9.78	5.19	82.93
1754	11.28	1.21	65.1
1755	4.96	10.77	10.18
1756	14.36	10.42	20.9
1757	3.66	11.52	10.15
1758	6.31	4.38	92.93
1759	3.11	3.8	90.99
1760	9.04	13.48	13.76
1761	3.04	0.67	90.15
1762	9.71	0.69	34.51
1763	5.63	9.65	22.89
1764	9.61	5.53	20.56
1765	0.97	5.55	48.83
1766	7.01	3.11	80.24
1767	16.64	1.15	90.82
1768	18.47	12.96	90.17
1769	4.84	4.61	90
1770	11.08	1.55	27.42
1771	16.31	10.73	90.43
1772	17.79	4.01	90.17
1773	5.53	14.84	7.71
1774	6.86	7.5	77.37
1775	10.7	9.84	39.15
1776	1.38	6.3	88.3
1777	6.95	3.57	11.4
1778	15.21	14.24	90.67
1779	7.61	6.56	98.83
1780	5.93	2.07	82.54
1781	14.3	3.29	5.09
1782	10.08	1.44	22.08
1783	11.14	6.43	45.3
1784	18.54	10.62	90.95
1785	12.61	3.49	74.49
1786	2.71	13.14	10.6
1787	7.76	7.44	6.5
1788	10.07	5.42	69.86
1789	13.02	2.25	60.27
1790	6.91	4.19	67.7
1791	11.82	0.15	26.43
1792	9.75	11.45	21.72
1793	0.72	0.91	90.64
1794	16.51	0.19	10.89
1795	11.91	9.33	10.34
1796	13.68	4.29	54.69
1797	2.28	1.39	90.11
1798	17.39	11.95	90.28
1799	8.49	10.45	53.5
1800	11.63	11.63	81.35
1801	14.55	3.42	17.91
1802	18.64	4.98	10.34
1803	19.11	10.5	90.59
1804	16.7	14.29	90.11
1805	5.72	1.68	59.56
1806	14.93	10.11	3.23
1807	8.16	13.71	27.49
1808	2.26	2.8	90.66
1809	15.09	11.12	90.88
1810	15.73	3.04	10.08
1811	13.22	3.35	56.45
1812	16.04	11.22	90.09
1813	8.67	10.43	40.41
1814	4.6	0.14	90.4
1815	12.12	4	60.62
1816	1.83	12.93	10.49
1817	11.57	11.44	78.53
1818	11.51	10.77	52.1
1819	1.62	9.09	47.19
1820	1.13	2.06	90.48
1821	10.24	7.65	25.47
1822	11.65	8.91	66.53
1823	0.38	8.52	92.78
1824	19.51	11.89	90.87
1825	13.31	3.6	19.64
1826	13.26	1.97	25.13
1827	5.63	14.04	35.4
1828	12.49	3.85	5.21
1829	9.16	11.88	83.6
1830	17.44	7.99	6.64
1831	1.76	9.17	21.32
1832	12.28	1.36	69.65
1833	1.39	5.59	32.14
1834	5.02	0.03	41.23
1835	13.17	9.3	4.78
1836	4.41	13.69	10.05
1837	14.15	7.55	6.84
1838	3.41	12.84	10.47
1839	10.51	0.33	17.13
1840	4.69	9.23	58.84
1841	1.22	5.52	19.5
1842	16.29	4.95	10.25
1843	0.57	5.27	97.3
1844	10.92	5.97	98.38
1845	16.14	10.11	90.63
1846	5.25	5.74	17.4
1847	15.79	6.83	66.99
1848	11.91	11.01	62.48
1849	0.33	6.43	7.54
1850	1.39	1.61	90.45
1851	16.11	4.56	90.24
1852	5.58	5.58	31.46
1853	5	4.56	90.56
1854	5.44	8.68	81.13
1855	8.09	0.92	77.41
1856	14.25	11.46	23.41
1857	12.61	9.11	84.82
1858	4.47	12.89	10.06
1859	2.32	5.74	71.08
1860	5.3	7.19	32.54
1861	15.51	6.16	55.31
1862	2.71	4.49	90.27
1863	11.72	9.92	12.69
1864	16.11	14.76	90.31
1865	1.56	6.67	48.29
1866	14.02	7.89	79.56
1867	7.99	6.8	39.85
1868	6.65	4.14	93.33
1869	9.65	5.93	37.8
1870	3.5	2.47	90.2
1871	7.38	3.3	21.02
1872	11.65	7.8	77.18
1873	6.18	0.16	48.53
1874	7.5	11.35	90.46
1875	2.41	2.62	90.86
1876	11.33	3.41	20.51
1877	17.28	5.37	88.16
1878	11.06	4.01	82.81
1879	13.23	8.31	87.79
1880	3.07	8.46	10.71
1881	0.52	9.01	26.16
1882	19.21	1.69	90.31
1883	11.45	6.18	3.5
1884	16.28	9.53	16.25
1885	3.97	7.06	34.21
1886	2.58	12.81	10.67
1887	19.15	10.09	90.14
1888	15.01	10.54	90.86
1889	15.84	10.04	90.31
1890	3.18	11.13	10.49
1891	3.06	4.27	90.93
1892	3.79	8.27	65.03
1893	9.85	12.6	69.52
1894	5.37	7.77	69.98
1895	8.43	1.68	11.68
1896	15.89	3.44	90.72
1897	12.57	5.91	18.41
1898	13.21	6.44	75.98
1899	17.98	6.68	49.1
1900	15.75	9.61	17.18
1901	5.08	14.29	54.98
1902	0.97	5.32	76.52
1903	17.83	3.53	10.41
1904	4.96	2.62	90.91
1905	6.6	7.11	12.01
1906	12.74	12.36	10.06
1907	2	3.41	90.91
1908	14.8	14.95	96.53
1909	8.88	2.49	92.38
1910	1.03	0.75	90.89
1911	15.79	14.25	90.21
1912	8.7	2.78	98.16
1913	8.34	4.99	92.63
1914	6.6	7.35	64.57
1915	16.89	8.72	76.19
1916	5.38	6.43	39.52
1917	5.38	7.8	76.74
1918	7.4	6.03	87.56
1919	12.8	9.22	24.56
1920	8.36	9.1	58.17
1921	18.7	8.7	51.04
1922	18.41	7.94	41.34
1923	4.55	10.82	10.43
1924	5.93	13.83	68.37
1925	7.19	11.42	21.52
1926	15.63	1.47	90.44
1927	0.43	12.01	10.5
1928	19.99	14.24	90.75
1929	6.78	5.29	76.79
1930	18.05	2.25	90.18
1931	13.83	4.08	45.09
1932	11.82	14.91	55.65
1933	9.13	8.04	56.64
1934	15.69	14.71	90.41
1935	16.38	9.99	68.86
1936	3.76	11.57	10.5
